Feature,Importance
NumStreamingServices,0.9832662879771171
NumProtectionServices,0.8829211842651514
Contract,0.6376516657471771
OnlineBackup,0.6326107101447997
DeviceProtection,0.5719208337617685
InternetService,0.5470403316755791
MonthlyToTotalRatio,0.45044877206597944
StreamingTV,0.39891909929512875
StreamingMovies,0.3639965008568412
tenure,0.3097520027853537
PaperlessBilling,0.2122896158309422
MonthlyCharges,0.1982760322187603
MultipleLines,0.17539151086954965
Dependents,0.1298268226923566
HasSupport,0.12501066652761164
